"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|SK","Without Sequence","138.92","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|SK","Without Sequence","159.92","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|SK","Without Sequence","169.17","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|SK","Without Sequence","171.18","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|SK","Without Sequence","168.57","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|SK","Without Sequence","169.49","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|SK","Without Sequence","164.50","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|SK","Without Sequence","160.91","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|SK","Without Sequence","163.06","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|SK","Without Sequence","171.36","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|SK","Without Sequence","169.14","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|SK","Without Sequence","178.59","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|SK","Without Sequence","170.10","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|SK","Without Sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|SK","Without Sequence","149.62","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|SK","Without Sequence","137.39","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|SK","Without Sequence","123.70","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|SK","Without Sequence","111.70","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|SK","Without Sequence","101.38","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|SK","Without Sequence","84.00","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|SK","Without Sequence","77.87","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|SK","Without Sequence","74.11","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|SK","Without Sequence","86.84","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|SK","Without Sequence","114.31","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|SK","Without Sequence","220.52","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|SK","Without Sequence","189.43","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|SK","Without Sequence","174.09","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|SK","Without Sequence","180.09","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|SK","Without Sequence","183.83","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|SK","Without Sequence","174.13","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|SK","Without Sequence","169.41","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|SK","Without Sequence","172.00","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|SK","Without Sequence","216.43","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|SK","Without Sequence","255.36","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|SK","Without Sequence","275.34","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|SK","Without Sequence","237.37","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|SK","Without Sequence","252.11","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|SK","Without Sequence","250.90","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|SK","Without Sequence","276.56","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|SK","Without Sequence","213.82","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|SK","Without Sequence","207.22","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|SK","Without Sequence","162.50","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|SK","Without Sequence","168.67","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|SK","Without Sequence","144.30","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|SK","Without Sequence","86.46","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|SK","Without Sequence","86.79","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|SK","Without Sequence","70.00","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|SK","Without Sequence","88.90","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|SK","Without Sequence","149.23","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|SK","Without Sequence","129.98","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|SK","Without Sequence","135.29","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|SK","Without Sequence","144.97","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|SK","Without Sequence","141.40","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|SK","Without Sequence","145.80","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|SK","Without Sequence","142.35","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|SK","Without Sequence","142.74","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|SK","Without Sequence","151.03","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|SK","Without Sequence","159.48","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|SK","Without Sequence","172.73","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|SK","Without Sequence","193.08","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|SK","Without Sequence","194.67","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|SK","Without Sequence","177.98","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|SK","Without Sequence","163.99","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|SK","Without Sequence","152.00","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|SK","Without Sequence","144.64","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|SK","Without Sequence","127.00","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|SK","Without Sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|SK","Without Sequence","101.10","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|SK","Without Sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|SK","Without Sequence","82.97","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|SK","Without Sequence","86.97","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|SK","Without Sequence","94.82","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|SK","Without Sequence","102.54","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|SK","Without Sequence","133.37","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|SK","Without Sequence","142.08","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|SK","Without Sequence","133.36","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|SK","Without Sequence","130.04","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|SK","Without Sequence","122.24","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|SK","Without Sequence","122.22","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|SK","Without Sequence","116.09","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|SK","Without Sequence","137.41","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|SK","Without Sequence","147.32","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|SK","Without Sequence","164.11","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|SK","Without Sequence","155.93","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|SK","Without Sequence","163.50","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|SK","Without Sequence","146.74","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|SK","Without Sequence","139.62","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|SK","Without Sequence","135.56","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|SK","Without Sequence","129.94","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|SK","Without Sequence","120.63","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|SK","Without Sequence","105.86","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|SK","Without Sequence","102.94","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|SK","Without Sequence","97.53","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|SK","Without Sequence","91.35","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|SK","Without Sequence","90.36","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|SK","Without Sequence","100.66","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|SK","Without Sequence","111.42","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|SK","Without Sequence","120.33","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|SK","Without Sequence","137.68","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|SK","Without Sequence","151.32","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|SK","Without Sequence","142.06","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|SK","Without Sequence","144.19","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|SK","Without Sequence","140.82","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|SK","Without Sequence","132.69","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|SK","Without Sequence","145.24","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|SK","Without Sequence","167.40","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|SK","Without Sequence","184.08","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|SK","Without Sequence","190.15","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|SK","Without Sequence","185.62","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|SK","Without Sequence","175.74","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|SK","Without Sequence","149.33","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|SK","Without Sequence","132.59","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|SK","Without Sequence","128.82","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|SK","Without Sequence","89.70","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|SK","Without Sequence","80.74","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|SK","Without Sequence","79.34","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|SK","Without Sequence","68.95","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|SK","Without Sequence","53.34","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|SK","Without Sequence","68.08","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|SK","Without Sequence","66.02","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|SK","Without Sequence","73.89","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|SK","Without Sequence","82.18","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|SK","Without Sequence","90.92","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|SK","Without Sequence","103.49","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|SK","Without Sequence","105.62","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|SK","Without Sequence","103.87","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|SK","Without Sequence","101.69","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|SK","Without Sequence","99.00","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|SK","Without Sequence","104.29","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|SK","Without Sequence","109.55","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|SK","Without Sequence","132.47","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|SK","Without Sequence","140.87","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|SK","Without Sequence","130.82","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|SK","Without Sequence","127.01","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|SK","Without Sequence","127.21","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|SK","Without Sequence","109.48","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|SK","Without Sequence","100.64","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|SK","Without Sequence","81.31","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|SK","Without Sequence","75.13","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|SK","Without Sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|SK","Without Sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|SK","Without Sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|SK","Without Sequence","50.21","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|SK","Without Sequence","78.11","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|SK","Without Sequence","118.14","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|SK","Without Sequence","168.51","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|SK","Without Sequence","180.00","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|SK","Without Sequence","179.40","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|SK","Without Sequence","171.85","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|SK","Without Sequence","176.94","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|SK","Without Sequence","173.61","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|SK","Without Sequence","175.36","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|SK","Without Sequence","172.19","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|SK","Without Sequence","179.64","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|SK","Without Sequence","184.36","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|SK","Without Sequence","185.82","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|SK","Without Sequence","182.18","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|SK","Without Sequence","179.97","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|SK","Without Sequence","167.45","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|SK","Without Sequence","141.09","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|SK","Without Sequence","132.00","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|SK","Without Sequence","108.31","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|SK","Without Sequence","106.26","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|SK","Without Sequence","96.10","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|SK","Without Sequence","93.82","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|SK","Without Sequence","91.37","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|SK","Without Sequence","95.70","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|SK","Without Sequence","108.60","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|SK","Without Sequence","145.81","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|SK","Without Sequence","176.50","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|SK","Without Sequence","183.06","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|SK","Without Sequence","179.99","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|SK","Without Sequence","176.55","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|SK","Without Sequence","172.24","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|SK","Without Sequence","169.50","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|SK","Without Sequence","170.02","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|SK","Without Sequence","171.78","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|SK","Without Sequence","173.01","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|SK","Without Sequence","170.14","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|SK","Without Sequence","174.78","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|SK","Without Sequence","171.91","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|SK","Without Sequence","165.26","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|SK","Without Sequence","155.89","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|SK","Without Sequence","131.35","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|SK","Without Sequence","116.28","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|SK","Without Sequence","81.71","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|SK","Without Sequence","27.83","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|SK","Without Sequence","9.30","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|SK","Without Sequence","13.63","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|SK","Without Sequence","3.39","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|SK","Without Sequence","22.95","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|SK","Without Sequence","88.19","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|SK","Without Sequence","171.34","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|SK","Without Sequence","215.39","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|SK","Without Sequence","222.97","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|SK","Without Sequence","200.03","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|SK","Without Sequence","185.92","",""
