"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|SK","Without Sequence","45.54","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|SK","Without Sequence","41.59","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|SK","Without Sequence","40.05","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|SK","Without Sequence","36.90","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|SK","Without Sequence","34.47","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|SK","Without Sequence","32.82","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|SK","Without Sequence","27.70","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|SK","Without Sequence","15.00","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|SK","Without Sequence","8.43","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|SK","Without Sequence","20.77","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|SK","Without Sequence","27.70","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|SK","Without Sequence","38.91","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|SK","Without Sequence","41.78","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|SK","Without Sequence","41.30","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|SK","Without Sequence","42.74","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|SK","Without Sequence","43.06","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|SK","Without Sequence","49.33","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|SK","Without Sequence","54.81","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|SK","Without Sequence","55.00","",""
