"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|BE","Without Sequence","-4.39","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|BE","Without Sequence","-1.75","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|BE","Without Sequence","-1.46","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|BE","Without Sequence","-5.27","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|BE","Without Sequence","-4.41","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|BE","Without Sequence","-5.40","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|BE","Without Sequence","-4.69","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|BE","Without Sequence","-1.31","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|BE","Without Sequence","-1.57","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|BE","Without Sequence","-1.03","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|BE","Without Sequence","-0.23","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|BE","Without Sequence","-0.74","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|BE","Without Sequence","-0.57","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|BE","Without Sequence","-0.12","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|BE","Without Sequence","0.85","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|BE","Without Sequence","23.50","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|BE","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|BE","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|BE","Without Sequence","36.64","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|BE","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|BE","Without Sequence","45.83","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|BE","Without Sequence","36.57","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|BE","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|BE","Without Sequence","35.00","",""
