"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|HR","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","79","n/e","n/e","n/e","231","143","0","n/e","n/e","10","259","3","180","914","n/e","n/e","n/e","42","0","4","n/e","159"
"BZN|HR","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","79","n/e","n/e","n/e","232","143","0","n/e","n/e","10","139","6","180","906","n/e","n/e","n/e","43","0","4","n/e","152"
"BZN|HR","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","79","n/e","n/e","n/e","232","143","0","n/e","n/e","10","0","9","126","857","n/e","n/e","n/e","42","0","4","n/e","166"
"BZN|HR","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","79","n/e","n/e","n/e","232","143","0","n/e","n/e","10","0","133","125","853","n/e","n/e","n/e","42","0","4","n/e","165"
"BZN|HR","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","78","n/e","n/e","n/e","232","143","0","n/e","n/e","10","0","229","125","860","n/e","n/e","n/e","42","0","4","n/e","157"
"BZN|HR","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","78","n/e","n/e","n/e","233","143","0","n/e","n/e","10","0","248","125","849","n/e","n/e","n/e","42","0","4","n/e","102"
"BZN|HR","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","78","n/e","n/e","n/e","231","143","0","n/e","n/e","10","0","248","125","849","n/e","n/e","n/e","42","0","4","n/e","79"
"BZN|HR","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","78","n/e","n/e","n/e","231","143","0","n/e","n/e","10","0","246","125","870","n/e","n/e","n/e","42","0","4","n/e","57"
"BZN|HR","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","79","n/e","n/e","n/e","230","143","0","n/e","n/e","10","0","106","127","881","n/e","n/e","n/e","42","0","4","n/e","54"
"BZN|HR","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","78","n/e","n/e","n/e","229","143","0","n/e","n/e","10","0","9","147","903","n/e","n/e","n/e","43","0","4","n/e","57"
"BZN|HR","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","78","n/e","n/e","n/e","230","143","0","n/e","n/e","10","1","8","171","901","n/e","n/e","n/e","44","5","4","n/e","41"
"BZN|HR","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","78","n/e","n/e","n/e","231","143","0","n/e","n/e","10","198","3","174","920","n/e","n/e","n/e","44","15","4","n/e","27"
"BZN|HR","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","79","n/e","n/e","n/e","230","143","0","n/e","n/e","10","256","3","174","902","n/e","n/e","n/e","44","22","4","n/e","26"
"BZN|HR","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","79","n/e","n/e","n/e","229","143","0","n/e","n/e","10","259","3","171","881","n/e","n/e","n/e","44","26","4","n/e","28"
"BZN|HR","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","79","n/e","n/e","n/e","228","143","0","n/e","n/e","10","259","3","171","877","n/e","n/e","n/e","44","25","4","n/e","36"
"BZN|HR","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","78","n/e","n/e","n/e","226","143","0","n/e","n/e","10","259","3","170","867","n/e","n/e","n/e","44","21","4","n/e","54"
"BZN|HR","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","78","n/e","n/e","n/e","226","143","0","n/e","n/e","10","211","3","168","872","n/e","n/e","n/e","44","13","4","n/e","71"
"BZN|HR","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","78","n/e","n/e","n/e","226","143","0","n/e","n/e","10","201","3","167","875","n/e","n/e","n/e","44","4","4","n/e","74"
"BZN|HR","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","78","n/e","n/e","n/e","227","143","0","n/e","n/e","10","224","3","167","924","n/e","n/e","n/e","44","0","4","n/e","84"
"BZN|HR","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","79","n/e","n/e","n/e","226","143","0","n/e","n/e","10","259","3","186","961","n/e","n/e","n/e","44","0","4","n/e","86"
"BZN|HR","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","79","n/e","n/e","n/e","227","143","0","n/e","n/e","10","259","3","194","961","n/e","n/e","n/e","44","0","4","n/e","80"
"BZN|HR","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","79","n/e","n/e","n/e","227","143","0","n/e","n/e","10","259","3","194","958","n/e","n/e","n/e","44","0","4","n/e","87"
"BZN|HR","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","79","n/e","n/e","n/e","229","143","0","n/e","n/e","10","259","3","190","947","n/e","n/e","n/e","44","0","4","n/e","82"
"BZN|HR","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","79","n/e","n/e","n/e","224","143","0","n/e","n/e","10","206","3","178","919","n/e","n/e","n/e","42","0","4","n/e","87"
"BZN|HR","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","79","n/e","n/e","n/e","209","143","0","n/e","n/e","10","187","3","155","926","n/e","n/e","n/e","42","0","4","n/e","95"
"BZN|HR","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","79","n/e","n/e","n/e","210","143","0","n/e","n/e","10","1","9","149","852","n/e","n/e","n/e","43","0","4","n/e","83"
"BZN|HR","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","79","n/e","n/e","n/e","210","143","0","n/e","n/e","10","0","230","118","785","n/e","n/e","n/e","42","0","4","n/e","85"
"BZN|HR","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","79","n/e","n/e","n/e","210","143","0","n/e","n/e","10","0","248","115","731","n/e","n/e","n/e","42","0","4","n/e","84"
"BZN|HR","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","79","n/e","n/e","n/e","211","143","0","n/e","n/e","10","0","248","114","679","n/e","n/e","n/e","42","0","4","n/e","109"
"BZN|HR","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","79","n/e","n/e","n/e","211","143","0","n/e","n/e","10","0","248","113","679","n/e","n/e","n/e","42","0","4","n/e","106"
"BZN|HR","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","79","n/e","n/e","n/e","210","143","0","n/e","n/e","10","0","248","111","677","n/e","n/e","n/e","42","0","4","n/e","114"
"BZN|HR","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","79","n/e","n/e","n/e","209","143","0","n/e","n/e","10","0","246","113","794","n/e","n/e","n/e","42","0","4","n/e","101"
"BZN|HR","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","79","n/e","n/e","n/e","208","143","0","n/e","n/e","10","0","37","120","851","n/e","n/e","n/e","42","0","4","n/e","96"
"BZN|HR","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","78","n/e","n/e","n/e","207","142","0","n/e","n/e","10","81","5","143","879","n/e","n/e","n/e","43","0","4","n/e","98"
"BZN|HR","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","78","n/e","n/e","n/e","208","144","0","n/e","n/e","10","218","3","153","915","n/e","n/e","n/e","43","4","3","n/e","87"
"BZN|HR","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","78","n/e","n/e","n/e","208","143","0","n/e","n/e","10","251","1","172","996","n/e","n/e","n/e","43","8","3","n/e","83"
"BZN|HR","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","79","n/e","n/e","n/e","209","143","0","n/e","n/e","10","251","1","188","960","n/e","n/e","n/e","43","14","3","n/e","85"
"BZN|HR","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","79","n/e","n/e","n/e","209","141","0","n/e","n/e","9","251","1","189","979","n/e","n/e","n/e","43","16","3","n/e","70"
"BZN|HR","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","79","n/e","n/e","n/e","209","141","0","n/e","n/e","9","251","1","184","980","n/e","n/e","n/e","43","15","4","n/e","38"
"BZN|HR","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","79","n/e","n/e","n/e","207","141","0","n/e","n/e","9","251","1","188","933","n/e","n/e","n/e","43","10","4","n/e","47"
"BZN|HR","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","79","n/e","n/e","n/e","207","141","0","n/e","n/e","9","221","2","190","924","n/e","n/e","n/e","43","6","4","n/e","47"
"BZN|HR","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","79","n/e","n/e","n/e","208","141","0","n/e","n/e","9","220","1","190","926","n/e","n/e","n/e","43","3","4","n/e","52"
"BZN|HR","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","79","n/e","n/e","n/e","208","141","0","n/e","n/e","9","260","1","211","997","n/e","n/e","n/e","43","0","4","n/e","34"
"BZN|HR","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","79","n/e","n/e","n/e","207","141","0","n/e","n/e","9","258","1","216","1069","n/e","n/e","n/e","43","0","4","n/e","44"
"BZN|HR","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","79","n/e","n/e","n/e","207","141","0","n/e","n/e","9","258","1","218","1064","n/e","n/e","n/e","43","0","4","n/e","50"
"BZN|HR","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","79","n/e","n/e","n/e","206","141","0","n/e","n/e","10","258","2","215","1091","n/e","n/e","n/e","43","0","4","n/e","53"
"BZN|HR","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","79","n/e","n/e","n/e","206","141","0","n/e","n/e","10","258","2","193","1073","n/e","n/e","n/e","43","0","4","n/e","61"
"BZN|HR","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","79","n/e","n/e","n/e","207","141","0","n/e","n/e","10","242","2","192","1025","n/e","n/e","n/e","42","0","4","n/e","54"
"BZN|HR","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","79","n/e","n/e","n/e","208","141","0","n/e","n/e","10","135","2","192","938","n/e","n/e","n/e","42","0","4","n/e","75"
"BZN|HR","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","79","n/e","n/e","n/e","208","142","0","n/e","n/e","10","0","5","174","890","n/e","n/e","n/e","42","0","4","n/e","83"
"BZN|HR","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","77","n/e","n/e","n/e","209","141","0","n/e","n/e","10","0","130","149","822","n/e","n/e","n/e","42","0","4","n/e","109"
"BZN|HR","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","77","n/e","n/e","n/e","209","141","0","n/e","n/e","10","0","247","125","821","n/e","n/e","n/e","42","0","4","n/e","138"
"BZN|HR","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","77","n/e","n/e","n/e","208","141","0","n/e","n/e","10","0","246","124","807","n/e","n/e","n/e","42","0","4","n/e","155"
"BZN|HR","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","77","n/e","n/e","n/e","208","141","0","n/e","n/e","10","0","246","124","844","n/e","n/e","n/e","42","0","4","n/e","165"
"BZN|HR","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","77","n/e","n/e","n/e","208","141","0","n/e","n/e","10","0","246","124","849","n/e","n/e","n/e","42","0","4","n/e","168"
"BZN|HR","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","77","n/e","n/e","n/e","207","141","0","n/e","n/e","10","0","214","124","924","n/e","n/e","n/e","42","0","4","n/e","188"
"BZN|HR","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","77","n/e","n/e","n/e","206","141","0","n/e","n/e","10","1","7","143","939","n/e","n/e","n/e","42","0","4","n/e","222"
"BZN|HR","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","77","n/e","n/e","n/e","206","141","0","n/e","n/e","10","207","1","159","967","n/e","n/e","n/e","42","0","4","n/e","254"
"BZN|HR","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","76","n/e","n/e","n/e","207","141","0","n/e","n/e","10","213","1","179","990","n/e","n/e","n/e","42","3","4","n/e","256"
"BZN|HR","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","76","n/e","n/e","n/e","207","141","0","n/e","n/e","9","213","1","179","1002","n/e","n/e","n/e","42","7","4","n/e","256"
"BZN|HR","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","77","n/e","n/e","n/e","207","141","0","n/e","n/e","9","213","1","196","1012","n/e","n/e","n/e","42","12","4","n/e","238"
"BZN|HR","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","77","n/e","n/e","n/e","208","141","0","n/e","n/e","9","213","1","194","1048","n/e","n/e","n/e","42","16","4","n/e","256"
"BZN|HR","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","77","n/e","n/e","n/e","208","141","0","n/e","n/e","9","113","5","193","1040","n/e","n/e","n/e","42","16","4","n/e","285"
