"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"31.01.2021 08:30 - 31.01.2021 08:45","4977","5208"
"31.01.2021 08:45 - 31.01.2021 09:00","5078","5326"
"31.01.2021 09:00 - 31.01.2021 09:15","5163","5424"
"31.01.2021 09:15 - 31.01.2021 09:30","5205","5481"
"31.01.2021 09:30 - 31.01.2021 09:45","5288","5526"
"31.01.2021 09:45 - 31.01.2021 10:00","5356","5572"
"31.01.2021 10:00 - 31.01.2021 10:15","5391","5616"
"31.01.2021 10:15 - 31.01.2021 10:30","5408","5634"
"31.01.2021 10:30 - 31.01.2021 10:45","5420","5648"
"31.01.2021 10:45 - 31.01.2021 11:00","5434","5630"
"31.01.2021 11:00 - 31.01.2021 11:15","5450","5673"
"31.01.2021 11:15 - 31.01.2021 11:30","5461","5688"
"31.01.2021 11:30 - 31.01.2021 11:45","5454","5679"
"31.01.2021 11:45 - 31.01.2021 12:00","5434","5660"
"31.01.2021 12:00 - 31.01.2021 12:15","5399","5636"
"31.01.2021 12:15 - 31.01.2021 12:30","5335","5579"
"31.01.2021 12:30 - 31.01.2021 12:45","5275","5522"
"31.01.2021 12:45 - 31.01.2021 13:00","5231","5460"
"31.01.2021 13:00 - 31.01.2021 13:15","5193","5414"
"31.01.2021 13:15 - 31.01.2021 13:30","5158","5365"
"31.01.2021 13:30 - 31.01.2021 13:45","5123","5331"
"31.01.2021 13:45 - 31.01.2021 14:00","5085","5265"
"31.01.2021 14:00 - 31.01.2021 14:15","5080","5302"
"31.01.2021 14:15 - 31.01.2021 14:30","5044","5241"
"31.01.2021 14:30 - 31.01.2021 14:45","5069","5242"
"31.01.2021 14:45 - 31.01.2021 15:00","5089","5229"
"31.01.2021 15:00 - 31.01.2021 15:15","5100","5258"
"31.01.2021 15:15 - 31.01.2021 15:30","5122","5253"
"31.01.2021 15:30 - 31.01.2021 15:45","5158","5280"
"31.01.2021 15:45 - 31.01.2021 16:00","5191","5276"
"31.01.2021 16:00 - 31.01.2021 16:15","5243","5348"
"31.01.2021 16:15 - 31.01.2021 16:30","5302","5381"
"31.01.2021 16:30 - 31.01.2021 16:45","5392","5440"
"31.01.2021 16:45 - 31.01.2021 17:00","5498","5501"
"31.01.2021 17:00 - 31.01.2021 17:15","5549","5643"
"31.01.2021 17:15 - 31.01.2021 17:30","5560","5675"
"31.01.2021 17:30 - 31.01.2021 17:45","5543","5681"
"31.01.2021 17:45 - 31.01.2021 18:00","5546","5693"
"31.01.2021 18:00 - 31.01.2021 18:15","5552","5687"
"31.01.2021 18:15 - 31.01.2021 18:30","5547","5675"
"31.01.2021 18:30 - 31.01.2021 18:45","5551","5679"
"31.01.2021 18:45 - 31.01.2021 19:00","5586","5686"
"31.01.2021 19:00 - 31.01.2021 19:15","5582","5681"
"31.01.2021 19:15 - 31.01.2021 19:30","5548","5679"
"31.01.2021 19:30 - 31.01.2021 19:45","5526","5677"
"31.01.2021 19:45 - 31.01.2021 20:00","5500","5652"
"31.01.2021 20:00 - 31.01.2021 20:15","5446","5585"
"31.01.2021 20:15 - 31.01.2021 20:30","5395","5555"
"31.01.2021 20:30 - 31.01.2021 20:45","5354","5520"
"31.01.2021 20:45 - 31.01.2021 21:00","5293","5449"
"31.01.2021 21:00 - 31.01.2021 21:15","5241","5351"
"31.01.2021 21:15 - 31.01.2021 21:30","5200","5319"
"31.01.2021 21:30 - 31.01.2021 21:45","5094","5246"
"31.01.2021 21:45 - 31.01.2021 22:00","5027","5176"
"31.01.2021 22:00 - 31.01.2021 22:15","4956","5128"
"31.01.2021 22:15 - 31.01.2021 22:30","4916","5069"
"31.01.2021 22:30 - 31.01.2021 22:45","4872","5030"
"31.01.2021 22:45 - 31.01.2021 23:00","4796","4943"
"31.01.2021 23:00 - 31.01.2021 23:15","4732","4866"
"31.01.2021 23:15 - 31.01.2021 23:30","4654","4806"
"31.01.2021 23:30 - 31.01.2021 23:45","4621","4788"
"31.01.2021 23:45 - 01.02.2021 00:00","4539","4734"
"01.02.2021 00:00 - 01.02.2021 00:15","4466","4576"
"01.02.2021 00:15 - 01.02.2021 00:30","4423","4541"
"01.02.2021 00:30 - 01.02.2021 00:45","4390","4513"
"01.02.2021 00:45 - 01.02.2021 01:00","4338","4489"
"01.02.2021 01:00 - 01.02.2021 01:15","4326","4477"
"01.02.2021 01:15 - 01.02.2021 01:30","4298","4468"
"01.02.2021 01:30 - 01.02.2021 01:45","4271","4424"
"01.02.2021 01:45 - 01.02.2021 02:00","4301","4385"
"01.02.2021 02:00 - 01.02.2021 02:15","4271","4348"
"01.02.2021 02:15 - 01.02.2021 02:30","4254","4337"
"01.02.2021 02:30 - 01.02.2021 02:45","4218","4306"
"01.02.2021 02:45 - 01.02.2021 03:00","4209","4260"
"01.02.2021 03:00 - 01.02.2021 03:15","4187","4291"
"01.02.2021 03:15 - 01.02.2021 03:30","4148","4278"
"01.02.2021 03:30 - 01.02.2021 03:45","4127","4286"
"01.02.2021 03:45 - 01.02.2021 04:00","4127","4272"
"01.02.2021 04:00 - 01.02.2021 04:15","4180","4345"
"01.02.2021 04:15 - 01.02.2021 04:30","4249","4407"
"01.02.2021 04:30 - 01.02.2021 04:45","4309","4474"
"01.02.2021 04:45 - 01.02.2021 05:00","4401","4537"
"01.02.2021 05:00 - 01.02.2021 05:15","4446","4674"
"01.02.2021 05:15 - 01.02.2021 05:30","4551","4760"
"01.02.2021 05:30 - 01.02.2021 05:45","4692","4918"
"01.02.2021 05:45 - 01.02.2021 06:00","4819","5078"
"01.02.2021 06:00 - 01.02.2021 06:15","5190","5457"
"01.02.2021 06:15 - 01.02.2021 06:30","5441","5692"
"01.02.2021 06:30 - 01.02.2021 06:45","5621","5861"
"01.02.2021 06:45 - 01.02.2021 07:00","5748","5926"
"01.02.2021 07:00 - 01.02.2021 07:15","5885","6060"
"01.02.2021 07:15 - 01.02.2021 07:30","5919","6135"
"01.02.2021 07:30 - 01.02.2021 07:45","6017","6209"
"01.02.2021 07:45 - 01.02.2021 08:00","6067","6214"
"01.02.2021 08:00 - 01.02.2021 08:15","6116","6238"
"01.02.2021 08:15 - 01.02.2021 08:30","6170","6280"
"01.02.2021 08:30 - 01.02.2021 08:45","6198","6267"
"01.02.2021 08:45 - 01.02.2021 09:00","6206","6262"
"01.02.2021 09:00 - 01.02.2021 09:15","6205","6224"
"01.02.2021 09:15 - 01.02.2021 09:30","6207","6236"
"01.02.2021 09:30 - 01.02.2021 09:45","6173","6233"
"01.02.2021 09:45 - 01.02.2021 10:00","6148","6217"
"01.02.2021 10:00 - 01.02.2021 10:15","6099","6198"
"01.02.2021 10:15 - 01.02.2021 10:30","6072","6171"
"01.02.2021 10:30 - 01.02.2021 10:45","6025","6180"
"01.02.2021 10:45 - 01.02.2021 11:00","5994","6189"
"01.02.2021 11:00 - 01.02.2021 11:15","5977","6179"
"01.02.2021 11:15 - 01.02.2021 11:30","6002","6135"
"01.02.2021 11:30 - 01.02.2021 11:45","5986","6144"
"01.02.2021 11:45 - 01.02.2021 12:00","5983","6176"
"01.02.2021 12:00 - 01.02.2021 12:15","5997","6139"
"01.02.2021 12:15 - 01.02.2021 12:30","5995","6137"
"01.02.2021 12:30 - 01.02.2021 12:45","6033","6121"
"01.02.2021 12:45 - 01.02.2021 13:00","6023","6101"
"01.02.2021 13:00 - 01.02.2021 13:15","6066","6096"
"01.02.2021 13:15 - 01.02.2021 13:30","6074","6069"
"01.02.2021 13:30 - 01.02.2021 13:45","6035","6015"
"01.02.2021 13:45 - 01.02.2021 14:00","5966","5956"
"01.02.2021 14:00 - 01.02.2021 14:15","6027","6000"
"01.02.2021 14:15 - 01.02.2021 14:30","6068","6018"
"01.02.2021 14:30 - 01.02.2021 14:45","6143","6057"
"01.02.2021 14:45 - 01.02.2021 15:00","6157","6090"
"01.02.2021 15:00 - 01.02.2021 15:15","6191","6114"
"01.02.2021 15:15 - 01.02.2021 15:30","6197","6094"
"01.02.2021 15:30 - 01.02.2021 15:45","6223","6144"
"01.02.2021 15:45 - 01.02.2021 16:00","6234","6133"
"01.02.2021 16:00 - 01.02.2021 16:15","6216","6166"
"01.02.2021 16:15 - 01.02.2021 16:30","6253","6172"
"01.02.2021 16:30 - 01.02.2021 16:45","6321","6215"
"01.02.2021 16:45 - 01.02.2021 17:00","6391","6267"
"01.02.2021 17:00 - 01.02.2021 17:15","6409","6392"
"01.02.2021 17:15 - 01.02.2021 17:30","6381","6432"
"01.02.2021 17:30 - 01.02.2021 17:45","6356","6420"
"01.02.2021 17:45 - 01.02.2021 18:00","6323","6388"
"01.02.2021 18:00 - 01.02.2021 18:15","6300","6373"
"01.02.2021 18:15 - 01.02.2021 18:30","6286","6380"
"01.02.2021 18:30 - 01.02.2021 18:45","6301","6403"
"01.02.2021 18:45 - 01.02.2021 19:00","6294","6405"
"01.02.2021 19:00 - 01.02.2021 19:15","6253","6325"
"01.02.2021 19:15 - 01.02.2021 19:30","6195","6292"
"01.02.2021 19:30 - 01.02.2021 19:45","6142","6244"
"01.02.2021 19:45 - 01.02.2021 20:00","6102","6201"
"01.02.2021 20:00 - 01.02.2021 20:15","6017","6092"
"01.02.2021 20:15 - 01.02.2021 20:30","5973","6083"
"01.02.2021 20:30 - 01.02.2021 20:45","5947","6067"
"01.02.2021 20:45 - 01.02.2021 21:00","5877","5991"
"01.02.2021 21:00 - 01.02.2021 21:15","5828","5949"
"01.02.2021 21:15 - 01.02.2021 21:30","5805","5904"
"01.02.2021 21:30 - 01.02.2021 21:45","5704","5831"
"01.02.2021 21:45 - 01.02.2021 22:00","5601","5707"
"01.02.2021 22:00 - 01.02.2021 22:15","5539","5663"
"01.02.2021 22:15 - 01.02.2021 22:30","5522","5614"
"01.02.2021 22:30 - 01.02.2021 22:45","5500","5609"
"01.02.2021 22:45 - 01.02.2021 23:00","5428","5543"
"01.02.2021 23:00 - 01.02.2021 23:15","5363","5491"
"01.02.2021 23:15 - 01.02.2021 23:30","5271","5396"
"01.02.2021 23:30 - 01.02.2021 23:45","5247","5372"
"01.02.2021 23:45 - 02.02.2021 00:00","5169","5327"
"02.02.2021 00:00 - 02.02.2021 00:15","5072","5195"
"02.02.2021 00:15 - 02.02.2021 00:30","4986","5079"
"02.02.2021 00:30 - 02.02.2021 00:45","4940","5015"
"02.02.2021 00:45 - 02.02.2021 01:00","4910","4972"
"02.02.2021 01:00 - 02.02.2021 01:15","4864","4931"
"02.02.2021 01:15 - 02.02.2021 01:30","4780","4899"
"02.02.2021 01:30 - 02.02.2021 01:45","4714","4834"
"02.02.2021 01:45 - 02.02.2021 02:00","4694","4777"
"02.02.2021 02:00 - 02.02.2021 02:15","4624","4729"
"02.02.2021 02:15 - 02.02.2021 02:30","4563","4710"
"02.02.2021 02:30 - 02.02.2021 02:45","4506","4669"
"02.02.2021 02:45 - 02.02.2021 03:00","4489","4616"
"02.02.2021 03:00 - 02.02.2021 03:15","4470","4605"
"02.02.2021 03:15 - 02.02.2021 03:30","4431","4597"
"02.02.2021 03:30 - 02.02.2021 03:45","4435","4589"
"02.02.2021 03:45 - 02.02.2021 04:00","4436","4599"
"02.02.2021 04:00 - 02.02.2021 04:15","4469","4658"
"02.02.2021 04:15 - 02.02.2021 04:30","4525","4699"
"02.02.2021 04:30 - 02.02.2021 04:45","4577","4742"
"02.02.2021 04:45 - 02.02.2021 05:00","4670","4830"
"02.02.2021 05:00 - 02.02.2021 05:15","4767","4944"
"02.02.2021 05:15 - 02.02.2021 05:30","4872","5045"
"02.02.2021 05:30 - 02.02.2021 05:45","4951","5155"
"02.02.2021 05:45 - 02.02.2021 06:00","5062","5276"
"02.02.2021 06:00 - 02.02.2021 06:15","5316","5583"
"02.02.2021 06:15 - 02.02.2021 06:30","5551","5805"
"02.02.2021 06:30 - 02.02.2021 06:45","5717","5941"
"02.02.2021 06:45 - 02.02.2021 07:00","5839","6068"
"02.02.2021 07:00 - 02.02.2021 07:15","5949","6163"
"02.02.2021 07:15 - 02.02.2021 07:30","5962","6203"
"02.02.2021 07:30 - 02.02.2021 07:45","6030","6245"
"02.02.2021 07:45 - 02.02.2021 08:00","6044","6282"
"02.02.2021 08:00 - 02.02.2021 08:15","6057","6306"
"02.02.2021 08:15 - 02.02.2021 08:30","6101","6349"
"02.02.2021 08:30 - 02.02.2021 08:45","6103","6401"
"02.02.2021 08:45 - 02.02.2021 09:00","6112","6408"
"02.02.2021 09:00 - 02.02.2021 09:15","6118","6418"
"02.02.2021 09:15 - 02.02.2021 09:30","6106","6436"
"02.02.2021 09:30 - 02.02.2021 09:45","6107","6455"
"02.02.2021 09:45 - 02.02.2021 10:00","6100","6461"
"02.02.2021 10:00 - 02.02.2021 10:15","6079","6465"
"02.02.2021 10:15 - 02.02.2021 10:30","6087","6490"
"02.02.2021 10:30 - 02.02.2021 10:45","6085","6494"
"02.02.2021 10:45 - 02.02.2021 11:00","6070","6494"
"02.02.2021 11:00 - 02.02.2021 11:15","6063","6504"
"02.02.2021 11:15 - 02.02.2021 11:30","6083","6533"
"02.02.2021 11:30 - 02.02.2021 11:45","6101","6559"
"02.02.2021 11:45 - 02.02.2021 12:00","6100","6556"
"02.02.2021 12:00 - 02.02.2021 12:15","6082","6548"
"02.02.2021 12:15 - 02.02.2021 12:30","6083","6556"
"02.02.2021 12:30 - 02.02.2021 12:45","6084","6547"
"02.02.2021 12:45 - 02.02.2021 13:00","6063","6519"
"02.02.2021 13:00 - 02.02.2021 13:15","6070","6521"
"02.02.2021 13:15 - 02.02.2021 13:30","6035","6484"
"02.02.2021 13:30 - 02.02.2021 13:45","5989","6361"
"02.02.2021 13:45 - 02.02.2021 14:00","5941","6244"
"02.02.2021 14:00 - 02.02.2021 14:15","5982","6293"
"02.02.2021 14:15 - 02.02.2021 14:30","5979","6267"
"02.02.2021 14:30 - 02.02.2021 14:45","6024","6329"
"02.02.2021 14:45 - 02.02.2021 15:00","6014","6319"
"02.02.2021 15:00 - 02.02.2021 15:15","6045","6333"
"02.02.2021 15:15 - 02.02.2021 15:30","6016","6327"
"02.02.2021 15:30 - 02.02.2021 15:45","6032","6340"
"02.02.2021 15:45 - 02.02.2021 16:00","6054","6335"
"02.02.2021 16:00 - 02.02.2021 16:15","6055","6314"
"02.02.2021 16:15 - 02.02.2021 16:30","6100","6345"
"02.02.2021 16:30 - 02.02.2021 16:45","6142","6358"
"02.02.2021 16:45 - 02.02.2021 17:00","6223","6414"
"02.02.2021 17:00 - 02.02.2021 17:15","6337","6497"
"02.02.2021 17:15 - 02.02.2021 17:30","6310","6510"
"02.02.2021 17:30 - 02.02.2021 17:45","6284","6478"
"02.02.2021 17:45 - 02.02.2021 18:00","6243","6473"
"02.02.2021 18:00 - 02.02.2021 18:15","6209","6448"
"02.02.2021 18:15 - 02.02.2021 18:30","6176","6465"
"02.02.2021 18:30 - 02.02.2021 18:45","6175","6456"
"02.02.2021 18:45 - 02.02.2021 19:00","6180","6442"
"02.02.2021 19:00 - 02.02.2021 19:15","6133","6416"
"02.02.2021 19:15 - 02.02.2021 19:30","6071","6359"
"02.02.2021 19:30 - 02.02.2021 19:45","6045","6315"
"02.02.2021 19:45 - 02.02.2021 20:00","6020","6262"
"02.02.2021 20:00 - 02.02.2021 20:15","5970","6185"
"02.02.2021 20:15 - 02.02.2021 20:30","5909","6128"
"02.02.2021 20:30 - 02.02.2021 20:45","5876","6120"
"02.02.2021 20:45 - 02.02.2021 21:00","5803","6047"
"02.02.2021 21:00 - 02.02.2021 21:15","5758","5995"
"02.02.2021 21:15 - 02.02.2021 21:30","5731","5949"
"02.02.2021 21:30 - 02.02.2021 21:45","5633","5872"
"02.02.2021 21:45 - 02.02.2021 22:00","5543","5770"
"02.02.2021 22:00 - 02.02.2021 22:15","5461","5741"
"02.02.2021 22:15 - 02.02.2021 22:30","5464","5729"
"02.02.2021 22:30 - 02.02.2021 22:45","5445","5701"
"02.02.2021 22:45 - 02.02.2021 23:00","5362","5613"
"02.02.2021 23:00 - 02.02.2021 23:15","5260","5543"
"02.02.2021 23:15 - 02.02.2021 23:30","5189","5468"
"02.02.2021 23:30 - 02.02.2021 23:45","5142","5442"
"02.02.2021 23:45 - 03.02.2021 00:00","5072","5382"
"03.02.2021 00:00 - 03.02.2021 00:15","5072","5215"
"03.02.2021 00:15 - 03.02.2021 00:30","4986","5141"
"03.02.2021 00:30 - 03.02.2021 00:45","4940","5088"
"03.02.2021 00:45 - 03.02.2021 01:00","4910","5018"
"03.02.2021 01:00 - 03.02.2021 01:15","4864","4979"
"03.02.2021 01:15 - 03.02.2021 01:30","4780","4967"
"03.02.2021 01:30 - 03.02.2021 01:45","4714","4909"
"03.02.2021 01:45 - 03.02.2021 02:00","4694","4856"
"03.02.2021 02:00 - 03.02.2021 02:15","4624","4757"
"03.02.2021 02:15 - 03.02.2021 02:30","4563","4716"
"03.02.2021 02:30 - 03.02.2021 02:45","4506","4693"
"03.02.2021 02:45 - 03.02.2021 03:00","4489","4692"
"03.02.2021 03:00 - 03.02.2021 03:15","4470","4667"
"03.02.2021 03:15 - 03.02.2021 03:30","4431","4665"
"03.02.2021 03:30 - 03.02.2021 03:45","4435","4648"
"03.02.2021 03:45 - 03.02.2021 04:00","4436","4643"
"03.02.2021 04:00 - 03.02.2021 04:15","4469","4697"
"03.02.2021 04:15 - 03.02.2021 04:30","4525","4751"
"03.02.2021 04:30 - 03.02.2021 04:45","4577","4778"
"03.02.2021 04:45 - 03.02.2021 05:00","4670","4890"
"03.02.2021 05:00 - 03.02.2021 05:15","4767","5003"
"03.02.2021 05:15 - 03.02.2021 05:30","4872","5076"
"03.02.2021 05:30 - 03.02.2021 05:45","4951","5170"
"03.02.2021 05:45 - 03.02.2021 06:00","5062","5275"
"03.02.2021 06:00 - 03.02.2021 06:15","5316","5616"
"03.02.2021 06:15 - 03.02.2021 06:30","5551","5851"
"03.02.2021 06:30 - 03.02.2021 06:45","5717","5990"
"03.02.2021 06:45 - 03.02.2021 07:00","5839","6078"
"03.02.2021 07:00 - 03.02.2021 07:15","5949","6160"
"03.02.2021 07:15 - 03.02.2021 07:30","5962","6210"
"03.02.2021 07:30 - 03.02.2021 07:45","6030","6283"
"03.02.2021 07:45 - 03.02.2021 08:00","6044","6281"
"03.02.2021 08:00 - 03.02.2021 08:15","6057","6294"
"03.02.2021 08:15 - 03.02.2021 08:30","6101","6315"
"03.02.2021 08:30 - 03.02.2021 08:45","6103","6344"
"03.02.2021 08:45 - 03.02.2021 09:00","6112","6359"
"03.02.2021 09:00 - 03.02.2021 09:15","6118","6370"
"03.02.2021 09:15 - 03.02.2021 09:30","6106","6375"
"03.02.2021 09:30 - 03.02.2021 09:45","6107","6369"
"03.02.2021 09:45 - 03.02.2021 10:00","6100","6369"
"03.02.2021 10:00 - 03.02.2021 10:15","6079","6346"
"03.02.2021 10:15 - 03.02.2021 10:30","6087","6373"
"03.02.2021 10:30 - 03.02.2021 10:45","6085","6384"
"03.02.2021 10:45 - 03.02.2021 11:00","6070","6383"
"03.02.2021 11:00 - 03.02.2021 11:15","6063","6357"
"03.02.2021 11:15 - 03.02.2021 11:30","6083","6404"
"03.02.2021 11:30 - 03.02.2021 11:45","6101","6434"
"03.02.2021 11:45 - 03.02.2021 12:00","6100","6465"
"03.02.2021 12:00 - 03.02.2021 12:15","6082","6442"
"03.02.2021 12:15 - 03.02.2021 12:30","6083","6453"
"03.02.2021 12:30 - 03.02.2021 12:45","6084","6480"
"03.02.2021 12:45 - 03.02.2021 13:00","6063","6444"
"03.02.2021 13:00 - 03.02.2021 13:15","6070","6446"
"03.02.2021 13:15 - 03.02.2021 13:30","6035","6382"
"03.02.2021 13:30 - 03.02.2021 13:45","5989","6357"
"03.02.2021 13:45 - 03.02.2021 14:00","5941","6280"
"03.02.2021 14:00 - 03.02.2021 14:15","5982","6304"
"03.02.2021 14:15 - 03.02.2021 14:30","5979","6285"
"03.02.2021 14:30 - 03.02.2021 14:45","6024","6291"
"03.02.2021 14:45 - 03.02.2021 15:00","6014","6312"
"03.02.2021 15:00 - 03.02.2021 15:15","6045","6313"
"03.02.2021 15:15 - 03.02.2021 15:30","6016","6301"
"03.02.2021 15:30 - 03.02.2021 15:45","6032","6287"
"03.02.2021 15:45 - 03.02.2021 16:00","6054","6305"
"03.02.2021 16:00 - 03.02.2021 16:15","6055","6287"
"03.02.2021 16:15 - 03.02.2021 16:30","6100","6290"
"03.02.2021 16:30 - 03.02.2021 16:45","6142","6285"
"03.02.2021 16:45 - 03.02.2021 17:00","6223","6350"
"03.02.2021 17:00 - 03.02.2021 17:15","6337","6425"
"03.02.2021 17:15 - 03.02.2021 17:30","6310","6471"
"03.02.2021 17:30 - 03.02.2021 17:45","6284","6445"
"03.02.2021 17:45 - 03.02.2021 18:00","6243","6457"
"03.02.2021 18:00 - 03.02.2021 18:15","6209","6421"
"03.02.2021 18:15 - 03.02.2021 18:30","6176","6409"
"03.02.2021 18:30 - 03.02.2021 18:45","6175","6397"
"03.02.2021 18:45 - 03.02.2021 19:00","6180","6401"
"03.02.2021 19:00 - 03.02.2021 19:15","6133","6342"
"03.02.2021 19:15 - 03.02.2021 19:30","6071","6286"
"03.02.2021 19:30 - 03.02.2021 19:45","6045","6243"
"03.02.2021 19:45 - 03.02.2021 20:00","6020","6230"
"03.02.2021 20:00 - 03.02.2021 20:15","5970","6134"
"03.02.2021 20:15 - 03.02.2021 20:30","5909","6092"
"03.02.2021 20:30 - 03.02.2021 20:45","5876","6044"
"03.02.2021 20:45 - 03.02.2021 21:00","5803","5968"
"03.02.2021 21:00 - 03.02.2021 21:15","5758","5924"
"03.02.2021 21:15 - 03.02.2021 21:30","5731","5904"
"03.02.2021 21:30 - 03.02.2021 21:45","5633","5777"
"03.02.2021 21:45 - 03.02.2021 22:00","5543","5693"
"03.02.2021 22:00 - 03.02.2021 22:15","5461","5608"
"03.02.2021 22:15 - 03.02.2021 22:30","5464","5596"
"03.02.2021 22:30 - 03.02.2021 22:45","5445","5571"
"03.02.2021 22:45 - 03.02.2021 23:00","5362","5497"
"03.02.2021 23:00 - 03.02.2021 23:15","5260","5422"
"03.02.2021 23:15 - 03.02.2021 23:30","5189","5344"
"03.02.2021 23:30 - 03.02.2021 23:45","5142","5302"
"03.02.2021 23:45 - 04.02.2021 00:00","5072","5254"
"04.02.2021 00:00 - 04.02.2021 00:15","5019","5111"
"04.02.2021 00:15 - 04.02.2021 00:30","4945","5055"
"04.02.2021 00:30 - 04.02.2021 00:45","4889","4952"
"04.02.2021 00:45 - 04.02.2021 01:00","4889","4899"
"04.02.2021 01:00 - 04.02.2021 01:15","4859","4861"
"04.02.2021 01:15 - 04.02.2021 01:30","4820","4827"
"04.02.2021 01:30 - 04.02.2021 01:45","4738","4755"
"04.02.2021 01:45 - 04.02.2021 02:00","4741","4703"
"04.02.2021 02:00 - 04.02.2021 02:15","4635","4634"
"04.02.2021 02:15 - 04.02.2021 02:30","4546","4607"
"04.02.2021 02:30 - 04.02.2021 02:45","4500","4550"
"04.02.2021 02:45 - 04.02.2021 03:00","4496","4546"
"04.02.2021 03:00 - 04.02.2021 03:15","4470","4534"
"04.02.2021 03:15 - 04.02.2021 03:30","4463","4508"
"04.02.2021 03:30 - 04.02.2021 03:45","4442","4482"
"04.02.2021 03:45 - 04.02.2021 04:00","4431","4506"
"04.02.2021 04:00 - 04.02.2021 04:15","4481","4549"
"04.02.2021 04:15 - 04.02.2021 04:30","4535","4601"
"04.02.2021 04:30 - 04.02.2021 04:45","4562","4622"
"04.02.2021 04:45 - 04.02.2021 05:00","4671","4717"
"04.02.2021 05:00 - 04.02.2021 05:15","4786","4827"
"04.02.2021 05:15 - 04.02.2021 05:30","4859","4940"
"04.02.2021 05:30 - 04.02.2021 05:45","4956","5013"
"04.02.2021 05:45 - 04.02.2021 06:00","5064","5159"
"04.02.2021 06:00 - 04.02.2021 06:15","5358","5476"
"04.02.2021 06:15 - 04.02.2021 06:30","5605","5693"
"04.02.2021 06:30 - 04.02.2021 06:45","5757","5796"
"04.02.2021 06:45 - 04.02.2021 07:00","5859","5868"
"04.02.2021 07:00 - 04.02.2021 07:15","5942","5935"
"04.02.2021 07:15 - 04.02.2021 07:30","5992","5969"
"04.02.2021 07:30 - 04.02.2021 07:45","6053","5978"
"04.02.2021 07:45 - 04.02.2021 08:00","6066","5962"
"04.02.2021 08:00 - 04.02.2021 08:15","6077","5922"
"04.02.2021 08:15 - 04.02.2021 08:30","6096","5890"
"04.02.2021 08:30 - 04.02.2021 08:45","6112","5832"
"04.02.2021 08:45 - 04.02.2021 09:00","6096","5814"
"04.02.2021 09:00 - 04.02.2021 09:15","6068","5781"
"04.02.2021 09:15 - 04.02.2021 09:30","6031","5767"
"04.02.2021 09:30 - 04.02.2021 09:45","6057","5748"
"04.02.2021 09:45 - 04.02.2021 10:00","6025","5717"
"04.02.2021 10:00 - 04.02.2021 10:15","6004","5654"
"04.02.2021 10:15 - 04.02.2021 10:30","6012","5624"
"04.02.2021 10:30 - 04.02.2021 10:45","6010","5609"
"04.02.2021 10:45 - 04.02.2021 11:00","5995","5606"
"04.02.2021 11:00 - 04.02.2021 11:15","5988","5563"
"04.02.2021 11:15 - 04.02.2021 11:30","6008","5567"
"04.02.2021 11:30 - 04.02.2021 11:45","6026","5549"
"04.02.2021 11:45 - 04.02.2021 12:00","6025","5565"
"04.02.2021 12:00 - 04.02.2021 12:15","6007","5553"
"04.02.2021 12:15 - 04.02.2021 12:30","6008","5567"
"04.02.2021 12:30 - 04.02.2021 12:45","6009","5559"
"04.02.2021 12:45 - 04.02.2021 13:00","5988","5571"
"04.02.2021 13:00 - 04.02.2021 13:15","5995","5585"
"04.02.2021 13:15 - 04.02.2021 13:30","5960","5554"
"04.02.2021 13:30 - 04.02.2021 13:45","5914","5491"
"04.02.2021 13:45 - 04.02.2021 14:00","5866","5437"
"04.02.2021 14:00 - 04.02.2021 14:15","5907","5521"
"04.02.2021 14:15 - 04.02.2021 14:30","5904","5540"
"04.02.2021 14:30 - 04.02.2021 14:45","5949","5597"
"04.02.2021 14:45 - 04.02.2021 15:00","5939","5663"
"04.02.2021 15:00 - 04.02.2021 15:15","6006","5729"
"04.02.2021 15:15 - 04.02.2021 15:30","6016","5751"
"04.02.2021 15:30 - 04.02.2021 15:45","6032","5808"
"04.02.2021 15:45 - 04.02.2021 16:00","6054","5842"
"04.02.2021 16:00 - 04.02.2021 16:15","6055","5855"
"04.02.2021 16:15 - 04.02.2021 16:30","6100","5910"
"04.02.2021 16:30 - 04.02.2021 16:45","6142","5944"
"04.02.2021 16:45 - 04.02.2021 17:00","6223","6002"
"04.02.2021 17:00 - 04.02.2021 17:15","6337","6138"
"04.02.2021 17:15 - 04.02.2021 17:30","6310","6230"
"04.02.2021 17:30 - 04.02.2021 17:45","6284","6242"
"04.02.2021 17:45 - 04.02.2021 18:00","6243","6224"
"04.02.2021 18:00 - 04.02.2021 18:15","6209","6220"
"04.02.2021 18:15 - 04.02.2021 18:30","6176","6192"
"04.02.2021 18:30 - 04.02.2021 18:45","6175","6201"
"04.02.2021 18:45 - 04.02.2021 19:00","6180","6192"
"04.02.2021 19:00 - 04.02.2021 19:15","6133","6150"
"04.02.2021 19:15 - 04.02.2021 19:30","6071","6104"
"04.02.2021 19:30 - 04.02.2021 19:45","6045","6096"
"04.02.2021 19:45 - 04.02.2021 20:00","6020","6057"
"04.02.2021 20:00 - 04.02.2021 20:15","5970","5998"
"04.02.2021 20:15 - 04.02.2021 20:30","5909","5928"
"04.02.2021 20:30 - 04.02.2021 20:45","5876","5931"
"04.02.2021 20:45 - 04.02.2021 21:00","5803","5843"
"04.02.2021 21:00 - 04.02.2021 21:15","5758","5794"
