"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"02.01.2021 00:30 - 02.01.2021 00:45","3610","3750"
"02.01.2021 00:45 - 02.01.2021 01:00","3554","3693"
"02.01.2021 01:00 - 02.01.2021 01:15","3531","3665"
"02.01.2021 01:15 - 02.01.2021 01:30","3468","3634"
"02.01.2021 01:30 - 02.01.2021 01:45","3442","3604"
"02.01.2021 01:45 - 02.01.2021 02:00","3460","3548"
"02.01.2021 02:00 - 02.01.2021 02:15","3398","3502"
"02.01.2021 02:15 - 02.01.2021 02:30","3358","3485"
"02.01.2021 02:30 - 02.01.2021 02:45","3309","3443"
"02.01.2021 02:45 - 02.01.2021 03:00","3291","3415"
"02.01.2021 03:00 - 02.01.2021 03:15","3258","3408"
"02.01.2021 03:15 - 02.01.2021 03:30","3198","3392"
"02.01.2021 03:30 - 02.01.2021 03:45","3195","3383"
"02.01.2021 03:45 - 02.01.2021 04:00","3183","3377"
"02.01.2021 04:00 - 02.01.2021 04:15","3201","3404"
"02.01.2021 04:15 - 02.01.2021 04:30","3227","3425"
"02.01.2021 04:30 - 02.01.2021 04:45","3231","3453"
"02.01.2021 04:45 - 02.01.2021 05:00","3249","3493"
"02.01.2021 05:00 - 02.01.2021 05:15","3298","3547"
"02.01.2021 05:15 - 02.01.2021 05:30","3329","3581"
"02.01.2021 05:30 - 02.01.2021 05:45","3383","3620"
"02.01.2021 05:45 - 02.01.2021 06:00","3429","3652"
"02.01.2021 06:00 - 02.01.2021 06:15","3512","3761"
"02.01.2021 06:15 - 02.01.2021 06:30","3585","3817"
"02.01.2021 06:30 - 02.01.2021 06:45","3657","3870"
"02.01.2021 06:45 - 02.01.2021 07:00","3696","3916"
"02.01.2021 07:00 - 02.01.2021 07:15","3755","3990"
"02.01.2021 07:15 - 02.01.2021 07:30","3825","3988"
"02.01.2021 07:30 - 02.01.2021 07:45","3928","4054"
"02.01.2021 07:45 - 02.01.2021 08:00","4021","4112"
"02.01.2021 08:00 - 02.01.2021 08:15","4104","4201"
"02.01.2021 08:15 - 02.01.2021 08:30","4208","4277"
"02.01.2021 08:30 - 02.01.2021 08:45","4282","4346"
"02.01.2021 08:45 - 02.01.2021 09:00","4348","4410"
"02.01.2021 09:00 - 02.01.2021 09:15","4441","4482"
"02.01.2021 09:15 - 02.01.2021 09:30","4506","4537"
"02.01.2021 09:30 - 02.01.2021 09:45","4572","4577"
"02.01.2021 09:45 - 02.01.2021 10:00","4616","4610"
"02.01.2021 10:00 - 02.01.2021 10:15","4660","4633"
"02.01.2021 10:15 - 02.01.2021 10:30","4692","4648"
"02.01.2021 10:30 - 02.01.2021 10:45","4738","4659"
"02.01.2021 10:45 - 02.01.2021 11:00","4787","4663"
"02.01.2021 11:00 - 02.01.2021 11:15","4828","4671"
"02.01.2021 11:15 - 02.01.2021 11:30","4886","4705"
"02.01.2021 11:30 - 02.01.2021 11:45","4906","4731"
"02.01.2021 11:45 - 02.01.2021 12:00","4921","4753"
"02.01.2021 12:00 - 02.01.2021 12:15","4941","4769"
"02.01.2021 12:15 - 02.01.2021 12:30","4944","4747"
"02.01.2021 12:30 - 02.01.2021 12:45","4927","4736"
"02.01.2021 12:45 - 02.01.2021 13:00","4908","4721"
"02.01.2021 13:00 - 02.01.2021 13:15","4902","4707"
"02.01.2021 13:15 - 02.01.2021 13:30","4877","4703"
"02.01.2021 13:30 - 02.01.2021 13:45","4856","4692"
"02.01.2021 13:45 - 02.01.2021 14:00","4828","4665"
"02.01.2021 14:00 - 02.01.2021 14:15","4836","4708"
"02.01.2021 14:15 - 02.01.2021 14:30","4831","4710"
"02.01.2021 14:30 - 02.01.2021 14:45","4826","4733"
"02.01.2021 14:45 - 02.01.2021 15:00","4832","4748"
"02.01.2021 15:00 - 02.01.2021 15:15","4868","4764"
"02.01.2021 15:15 - 02.01.2021 15:30","4844","4788"
"02.01.2021 15:30 - 02.01.2021 15:45","4851","4811"
"02.01.2021 15:45 - 02.01.2021 16:00","4893","4871"
"02.01.2021 16:00 - 02.01.2021 16:15","4955","4953"
"02.01.2021 16:15 - 02.01.2021 16:30","5085","5054"
"02.01.2021 16:30 - 02.01.2021 16:45","5165","5147"
"02.01.2021 16:45 - 02.01.2021 17:00","5170","5155"
"02.01.2021 17:00 - 02.01.2021 17:15","5172","5168"
"02.01.2021 17:15 - 02.01.2021 17:30","5149","5136"
"02.01.2021 17:30 - 02.01.2021 17:45","5133","5118"
"02.01.2021 17:45 - 02.01.2021 18:00","5117","5091"
"02.01.2021 18:00 - 02.01.2021 18:15","5104","5067"
"02.01.2021 18:15 - 02.01.2021 18:30","5072","5039"
"02.01.2021 18:30 - 02.01.2021 18:45","5082","5032"
"02.01.2021 18:45 - 02.01.2021 19:00","5050","5028"
"02.01.2021 19:00 - 02.01.2021 19:15","5033","5016"
"02.01.2021 19:15 - 02.01.2021 19:30","5022","4992"
