"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|CZ","Without Sequence","15.34","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|CZ","Without Sequence","80.00","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|CZ","Without Sequence","102.48","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|CZ","Without Sequence","131.47","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|CZ","Without Sequence","135.53","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|CZ","Without Sequence","107.46","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|CZ","Without Sequence","110.08","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|CZ","Without Sequence","119.78","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|CZ","Without Sequence","117.00","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|CZ","Without Sequence","111.57","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|CZ","Without Sequence","111.39","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|CZ","Without Sequence","124.51","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|CZ","Without Sequence","148.49","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|CZ","Without Sequence","138.00","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|CZ","Without Sequence","117.64","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|CZ","Without Sequence","117.71","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|CZ","Without Sequence","95.95","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|CZ","Without Sequence","105.68","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|CZ","Without Sequence","95.26","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|CZ","Without Sequence","103.70","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|CZ","Without Sequence","108.27","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|CZ","Without Sequence","105.92","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|CZ","Without Sequence","103.41","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|CZ","Without Sequence","102.71","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|CZ","Without Sequence","114.23","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|CZ","Without Sequence","156.91","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|CZ","Without Sequence","182.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|CZ","Without Sequence","178.91","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|CZ","Without Sequence","190.00","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|CZ","Without Sequence","189.88","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|CZ","Without Sequence","182.42","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|CZ","Without Sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|CZ","Without Sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|CZ","Without Sequence","179.00","",""
