"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2020 00:00 - 01.01.2020 00:15","46653","44358"
"01.01.2020 00:15 - 01.01.2020 00:30","46133","44110"
"01.01.2020 00:30 - 01.01.2020 00:45","45652","43795"
"01.01.2020 00:45 - 01.01.2020 01:00","45157","43611"
"01.01.2020 01:00 - 01.01.2020 01:15","44317","43472"
"01.01.2020 01:15 - 01.01.2020 01:30","44164","43257"
"01.01.2020 01:30 - 01.01.2020 01:45","43656","42875"
"01.01.2020 01:45 - 01.01.2020 02:00","43320","42584"
"01.01.2020 02:00 - 01.01.2020 02:15","43106","42402"
"01.01.2020 02:15 - 01.01.2020 02:30","42961","42092"
"01.01.2020 02:30 - 01.01.2020 02:45","42872","41674"
"01.01.2020 02:45 - 01.01.2020 03:00","42813","41412"
"01.01.2020 03:00 - 01.01.2020 03:15","42843","41127"
"01.01.2020 03:15 - 01.01.2020 03:30","42910","40801"
"01.01.2020 03:30 - 01.01.2020 03:45","42821","40546"
"01.01.2020 03:45 - 01.01.2020 04:00","42769","40333"
"01.01.2020 04:00 - 01.01.2020 04:15","42862","40793"
"01.01.2020 04:15 - 01.01.2020 04:30","42972","40672"
"01.01.2020 04:30 - 01.01.2020 04:45","42953","40678"
"01.01.2020 04:45 - 01.01.2020 05:00","43025","40582"
"01.01.2020 05:00 - 01.01.2020 05:15","43042","40710"
"01.01.2020 05:15 - 01.01.2020 05:30","42764","40432"
"01.01.2020 05:30 - 01.01.2020 05:45","42470","40434"
"01.01.2020 05:45 - 01.01.2020 06:00","42131","40176"
"01.01.2020 06:00 - 01.01.2020 06:15","41182","39453"
"01.01.2020 06:15 - 01.01.2020 06:30","41009","39322"
"01.01.2020 06:30 - 01.01.2020 06:45","40997","39280"
"01.01.2020 06:45 - 01.01.2020 07:00","41092","39472"
"01.01.2020 07:00 - 01.01.2020 07:15","41361","39703"
"01.01.2020 07:15 - 01.01.2020 07:30","41765","39969"
"01.01.2020 07:30 - 01.01.2020 07:45","42685","39937"
"01.01.2020 07:45 - 01.01.2020 08:00","43543","39996"
"01.01.2020 08:00 - 01.01.2020 08:15","44277","40248"
