"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"02.01.2021 00:30 - 02.01.2021 00:45","42577","42997"
"02.01.2021 00:45 - 02.01.2021 01:00","42150","42587"
"02.01.2021 01:00 - 02.01.2021 01:15","41975","42036"
"02.01.2021 01:15 - 02.01.2021 01:30","41617","41626"
"02.01.2021 01:30 - 02.01.2021 01:45","41471","41266"
"02.01.2021 01:45 - 02.01.2021 02:00","41325","40887"
"02.01.2021 02:00 - 02.01.2021 02:15","41002","40625"
"02.01.2021 02:15 - 02.01.2021 02:30","40825","40499"
"02.01.2021 02:30 - 02.01.2021 02:45","40841","40351"
"02.01.2021 02:45 - 02.01.2021 03:00","40689","40327"
"02.01.2021 03:00 - 02.01.2021 03:15","40595","40147"
"02.01.2021 03:15 - 02.01.2021 03:30","40647","40176"
"02.01.2021 03:30 - 02.01.2021 03:45","40657","40425"
"02.01.2021 03:45 - 02.01.2021 04:00","40694","40448"
"02.01.2021 04:00 - 02.01.2021 04:15","40636","40755"
"02.01.2021 04:15 - 02.01.2021 04:30","40513","40934"
"02.01.2021 04:30 - 02.01.2021 04:45","40758","41080"
"02.01.2021 04:45 - 02.01.2021 05:00","40654","41129"
"02.01.2021 05:00 - 02.01.2021 05:15","40714","41402"
"02.01.2021 05:15 - 02.01.2021 05:30","40871","41178"
"02.01.2021 05:30 - 02.01.2021 05:45","41093","41378"
"02.01.2021 05:45 - 02.01.2021 06:00","41427","41713"
"02.01.2021 06:00 - 02.01.2021 06:15","41632","42220"
"02.01.2021 06:15 - 02.01.2021 06:30","42111","42496"
"02.01.2021 06:30 - 02.01.2021 06:45","42322","42894"
"02.01.2021 06:45 - 02.01.2021 07:00","42963","43201"
"02.01.2021 07:00 - 02.01.2021 07:15","43658","43869"
"02.01.2021 07:15 - 02.01.2021 07:30","44081","44360"
"02.01.2021 07:30 - 02.01.2021 07:45","45011","44734"
"02.01.2021 07:45 - 02.01.2021 08:00","46038","45318"
"02.01.2021 08:00 - 02.01.2021 08:15","47129","45757"
"02.01.2021 08:15 - 02.01.2021 08:30","47932","46481"
"02.01.2021 08:30 - 02.01.2021 08:45","48415","46962"
"02.01.2021 08:45 - 02.01.2021 09:00","49060","47647"
"02.01.2021 09:00 - 02.01.2021 09:15","50176","48670"
"02.01.2021 09:15 - 02.01.2021 09:30","51144","49462"
"02.01.2021 09:30 - 02.01.2021 09:45","51749","50077"
"02.01.2021 09:45 - 02.01.2021 10:00","52266","50601"
"02.01.2021 10:00 - 02.01.2021 10:15","52943","51217"
"02.01.2021 10:15 - 02.01.2021 10:30","53266","51848"
"02.01.2021 10:30 - 02.01.2021 10:45","53575","52438"
"02.01.2021 10:45 - 02.01.2021 11:00","53894","52761"
"02.01.2021 11:00 - 02.01.2021 11:15","54143","53393"
"02.01.2021 11:15 - 02.01.2021 11:30","54741","54043"
"02.01.2021 11:30 - 02.01.2021 11:45","54870","54443"
"02.01.2021 11:45 - 02.01.2021 12:00","54883","54671"
"02.01.2021 12:00 - 02.01.2021 12:15","54574","55157"
"02.01.2021 12:15 - 02.01.2021 12:30","54485","55142"
"02.01.2021 12:30 - 02.01.2021 12:45","54088","55111"
"02.01.2021 12:45 - 02.01.2021 13:00","53855","54859"
"02.01.2021 13:00 - 02.01.2021 13:15","53545","54625"
"02.01.2021 13:15 - 02.01.2021 13:30","53286","54286"
"02.01.2021 13:30 - 02.01.2021 13:45","53273","54023"
"02.01.2021 13:45 - 02.01.2021 14:00","52573","53717"
"02.01.2021 14:00 - 02.01.2021 14:15","52487","53430"
"02.01.2021 14:15 - 02.01.2021 14:30","52472","53230"
"02.01.2021 14:30 - 02.01.2021 14:45","52291","53176"
"02.01.2021 14:45 - 02.01.2021 15:00","52180","52958"
"02.01.2021 15:00 - 02.01.2021 15:15","52188","53072"
"02.01.2021 15:15 - 02.01.2021 15:30","52097","53192"
"02.01.2021 15:30 - 02.01.2021 15:45","52322","53353"
"02.01.2021 15:45 - 02.01.2021 16:00","52545","53361"
