"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|FR","Without Sequence","36.14","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|FR","Without Sequence","36.97","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|FR","Without Sequence","38.92","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|FR","Without Sequence","44.49","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|FR","Without Sequence","49.00","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|FR","Without Sequence","50.30","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|FR","Without Sequence","52.04","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|FR","Without Sequence","46.64","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|FR","Without Sequence","44.01","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|FR","Without Sequence","41.27","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|FR","Without Sequence","49.92","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|FR","Without Sequence","55.16","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|FR","Without Sequence","59.29","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|FR","Without Sequence","61.09","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|FR","Without Sequence","60.00","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|FR","Without Sequence","59.40","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|FR","Without Sequence","55.36","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|FR","Without Sequence","53.06","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|FR","Without Sequence","50.23","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|FR","Without Sequence","47.01","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|FR","Without Sequence","43.79","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|FR","Without Sequence","41.65","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|FR","Without Sequence","41.62","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|FR","Without Sequence","44.50","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|FR","Without Sequence","56.00","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|FR","Without Sequence","62.00","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|FR","Without Sequence","64.84","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|FR","Without Sequence","68.25","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|FR","Without Sequence","65.97","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|FR","Without Sequence","63.93","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|FR","Without Sequence","63.94","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|FR","Without Sequence","63.94","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|FR","Without Sequence","61.97","",""
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|FR","Without Sequence","62.45","",""
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|FR","Without Sequence","63.90","",""
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|FR","Without Sequence","67.02","",""
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|FR","Without Sequence","71.05","",""
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|FR","Without Sequence","72.60","",""
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|FR","Without Sequence","70.00","",""
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|FR","Without Sequence","61.39","",""
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|FR","Without Sequence","59.80","",""
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|FR","Without Sequence","54.69","",""
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|FR","Without Sequence","54.79","",""
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|FR","Without Sequence","50.30","",""
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|FR","Without Sequence","49.53","",""
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|FR","Without Sequence","44.58","",""
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|FR","Without Sequence","45.05","",""
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|FR","Without Sequence","49.53","",""
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|FR","Without Sequence","58.15","",""
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|FR","Without Sequence","68.30","",""
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|FR","Without Sequence","70.41","",""
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|FR","Without Sequence","75.00","",""
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|FR","Without Sequence","73.48","",""
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|FR","Without Sequence","72.31","",""
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|FR","Without Sequence","71.35","",""
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|FR","Without Sequence","72.52","",""
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|FR","Without Sequence","69.75","",""
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|FR","Without Sequence","66.46","",""
